Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
ximango-8-osso,"Língua de Ximango 8"" · cabo osso",<p>Virola de alumínio e topo em acrílico preto.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:osso, facas",TRUE,Title,Default Title,XIMANGO-8-OSSO,260,shopify,1,deny,manual,229.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8-osso-v2.webp,1,"Língua de Ximango 8"" · cabo osso",active
ximango-8-imbuia-ouro,"Língua de Ximango 8"" · madeira imbuia com folha de ouro",<p>Anel de resina com folha de ouro entre filetes pretos.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:madeira, facas",TRUE,Title,Default Title,XIMANGO-8-IMBUIA-OUR,260,shopify,1,deny,manual,229.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8-imbuia-ouro-v2.webp,1,"Língua de Ximango 8"" · madeira imbuia com folha de ouro",active
ximango-8-imbuia-prata,"Língua de Ximango 8"" · madeira imbuia com anel claro",<p>Anel de resina clara entre filetes pretos.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:madeira, facas",TRUE,Title,Default Title,XIMANGO-8-IMBUIA-PRA,260,shopify,1,deny,manual,229.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8-imbuia-prata-v2.webp,1,"Língua de Ximango 8"" · madeira imbuia com anel claro",active
fulltang-9-madeira,"Fulltang 9"" · cabo madeira",<p>Espiga inteira com talas pinadas em latão.</p>,Corte Nobre,Faca,"aco:inox, modelo:fulltang, lamina:9, cabo:madeira, facas",TRUE,Title,Default Title,FULLTANG-9-MADEIRA,260,shopify,1,deny,manual,239.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/fulltang-9-a.webp,1,"Fulltang 9"" · cabo madeira",active
fulltang-9-madeira,,,,,,,,,,,,,,,,,,https://corte-nobre.vercel.app/img/fulltang-9-b.webp,2,"Fulltang 9"" · cabo madeira",
fulltang-9-madeira,,,,,,,,,,,,,,,,,,https://corte-nobre.vercel.app/img/fulltang-9-c.webp,3,"Fulltang 9"" · cabo madeira",
fulltang-7-figurada,"Fulltang 7"" · madeira figurada",<p>Guarda em latão gravado e bainha de couro inclusa.</p>,Corte Nobre,Faca,"aco:inox, modelo:fulltang, lamina:7, cabo:madeira, facas",TRUE,Title,Default Title,FULLTANG-7-FIGURADA,260,shopify,1,deny,manual,189.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/fulltang-7-a.webp,1,"Fulltang 7"" · madeira figurada",active
fulltang-7-figurada,,,,,,,,,,,,,,,,,,https://corte-nobre.vercel.app/img/fulltang-7-b.webp,2,"Fulltang 7"" · madeira figurada",
fulltang-7-figurada,,,,,,,,,,,,,,,,,,https://corte-nobre.vercel.app/img/fulltang-7-c.webp,3,"Fulltang 7"" · madeira figurada",
forjada-8-chifre,"Língua de Ximango 8"" forjada · cabo chifre",<p>Lâmina com acabamento de forja e lombo entalhado. Virola de alumínio sobre base em osso.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:chifre, facas",TRUE,Title,Default Title,FORJADA-8-CHIFRE,260,shopify,1,deny,manual,,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8r-a.webp,1,"Língua de Ximango 8"" forjada · cabo chifre",draft
forjada-8-madeira,"Língua de Ximango 8"" forjada · cabo madeira",<p>Lâmina com acabamento de forja e lombo entalhado. Virola de alumínio.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:madeira, facas",TRUE,Title,Default Title,FORJADA-8-MADEIRA,260,shopify,1,deny,manual,,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8r-b.webp,1,"Língua de Ximango 8"" forjada · cabo madeira",draft
forjada-8-osso,"Língua de Ximango 8"" forjada · cabo osso",<p>Lâmina com acabamento de forja e lombo entalhado. Virola de alumínio.</p>,Corte Nobre,Faca,"aco:inox, modelo:ximango, lamina:8, cabo:osso, facas",TRUE,Title,Default Title,FORJADA-8-OSSO,260,shopify,1,deny,manual,,TRUE,TRUE,https://corte-nobre.vercel.app/img/inox-8r-c.webp,1,"Língua de Ximango 8"" forjada · cabo osso",draft
carbono-9-chifre,"Carbono 9"" · cabo chifre",<p>Lâmina forjada com gravação. Cabo em chifre escuro com virola de alumínio.</p>,Corte Nobre,Faca,"aco:carbono, modelo:ximango, lamina:9, cabo:chifre, facas",TRUE,Title,Default Title,CARBONO-9-CHIFRE,260,shopify,1,deny,manual,199.90,TRUE,TRUE,https://corte-nobre.vercel.app/img/carbono-9-a2.webp,1,"Carbono 9"" · cabo chifre",active
carbono-8-ximango,"Língua de Ximango 8"" · aço carbono",<p>Lâmina de desossa em carbono forjado. Cabo escolhido a cada peça.</p>,Corte Nobre,Faca,"aco:carbono, modelo:ximango, lamina:8, cabo:chifre, facas",TRUE,Title,Default Title,CARBONO-8-XIMANGO,260,shopify,1,deny,manual,,TRUE,TRUE,https://corte-nobre.vercel.app/img/ximango-carbono-12.webp,1,"Língua de Ximango 8"" · aço carbono",draft
